NO,TICKER,PCC
0,ADS.DE,-7.810221633999269e-18
1,ALV.DE,1.725573556715617e-17
2,BAS.DE,-4.0354667578321306e-17
3,BAYN.DE,3.503848831994905e-17
4,BEI.DE,3.314567289536461e-17
5,BMW.DE,2.8448759304877594e-17
6,CON.DE,9.315601566898657e-17
7,1COV.DE,-5.264164611857363e-17
8,DAI.DE,2.7697976055825083e-17
9,DBK.DE,-2.890992716671669e-17
10,DB1.DE,-4.724304185050948e-17
11,LHA.DE,-2.609904148042283e-17
12,DPW.DE,-1.8162070206104353e-17
13,DTE.DE,4.15187051470997e-17
14,EOAN.DE,8.3170502145728e-18
15,FRE.DE,1.148257577299283e-17
16,FME.DE,3.118533591753065e-17
17,HEI.DE,1.4341739529481152e-17
18,HEN3.DE,2.2994871018880817e-17
19,IFX.DE,0.0
20,LIN.DE,4.691585891062587e-17
21,MRK.DE,-1.7359350026421164e-17
22,MTX.DE,-1.1014056650800747e-17
23,MUV2.DE,0.0
24,RWE.DE,5.2138866666810115e-18
25,SAP.DE,-3.4687526287076085e-17
26,SIE.DE,2.5711128627216e-17
27,VOW3.DE,1.4612244040741165e-17
28,VNA.DE,-8.593358180587904e-18
29,WDI.DE,-4.31673738869071e-17
