NO,TICKER,PCC
0,ADS.DE,0.0
1,ALV.DE,2.831019116486559e-17
2,BAS.DE,-5.146373613770088e-18
3,BAYN.DE,-1.3667495443951757e-17
4,BEI.DE,3.2076457640675425e-17
5,BMW.DE,1.1853649710365664e-17
6,CON.DE,4.3127785031938216e-18
7,1COV.DE,-6.103379260124479e-17
8,DAI.DE,0.0
9,DBK.DE,2.1080155225730913e-17
10,DB1.DE,-1.7179287945639813e-17
11,LHA.DE,9.498630742874975e-17
12,DPW.DE,-1.513505850508696e-17
13,DTE.DE,-2.120579026330361e-17
14,EOAN.DE,3.465437589405334e-17
15,FRE.DE,9.87748453590781e-18
16,FME.DE,2.819950588287346e-17
17,HEI.DE,1.9122319372641535e-17
18,HEN3.DE,5.2696579418268544e-17
19,IFX.DE,6.459011999537519e-17
20,LIN.DE,7.819309818437645e-17
21,MRK.DE,-3.7973578182796295e-17
22,MTX.DE,-8.26054248810056e-17
23,MUV2.DE,0.0
24,RWE.DE,-8.689811111135019e-18
25,SAP.DE,-6.297437808070362e-17
26,SIE.DE,4.285188104536e-17
27,VOW3.DE,7.8596161128229e-17
28,VNA.DE,-5.967609847630488e-17
29,WDI.DE,4.6165108184608986e-17
