NO,TICKER,PCC
0,ADS.DE,0.01827337462658341
1,ALV.DE,nan
2,BAS.DE,nan
3,BAYN.DE,nan
4,BEI.DE,nan
5,BMW.DE,nan
6,CON.DE,-0.012570027374989802
7,1COV.DE,-0.010818135918723036
8,DAI.DE,nan
9,DBK.DE,nan
10,DB1.DE,nan
11,LHA.DE,-0.04371595626134251
12,DPW.DE,nan
13,DTE.DE,nan
14,EOAN.DE,nan
15,FRE.DE,nan
16,FME.DE,-0.023612283967443963
17,HEI.DE,nan
18,HEN3.DE,nan
19,IFX.DE,nan
20,LIN.DE,-0.07855180635766472
21,MRK.DE,nan
22,MTX.DE,nan
23,MUV2.DE,nan
24,RWE.DE,-0.025410295055783814
25,SAP.DE,-0.030504596483142306
26,SIE.DE,nan
27,VOW3.DE,nan
28,VNA.DE,nan
29,WDI.DE,nan
