TICKER,RANK
ADS.DE,-0.0039801383
ALV.DE,-0.0008269095
BAS.DE,0.0007295966
BAYN.DE,0.0003858436
BEI.DE,0.0007455563
BMW.DE,0.0011235692
CON.DE,0.0005308912
1COV.DE,0.0004103667
DAI.DE,0.0009318513
DBK.DE,-0.0005939321
DB1.DE,0.0005340371
LHA.DE,-0.0009154991
DPW.DE,0.0008283808
DTE.DE,-0.0004939594
EOAN.DE,0.0020840289
FRE.DE,0.0012624598
FME.DE,0.0012041241
HEI.DE,0.000320727
HEN3.DE,0.0007083886
IFX.DE,-0.0012525596
LIN.DE,0.0002438225
MRK.DE,0.0007216497
MTX.DE,-0.00062466
MUV2.DE,-0.0007737702
RWE.DE,0.0020920115
SAP.DE,-0.0008900242
SIE.DE,-0.0006279932
VOW3.DE,0.0009177469
VNA.DE,-0.0007154938
WDI.DE,-0.0005356597
