TICKER,RANK
ADS.DE,-0.0003673565
ALV.DE,-0.000365337
BAS.DE,-0.0003684151
BAYN.DE,-0.0003670753
BEI.DE,-0.0003659342
BMW.DE,-0.0003670035
CON.DE,-0.0003678822
1COV.DE,-0.0003696654
DAI.DE,-0.0003691048
DBK.DE,-0.0003785562
DB1.DE,-0.0003638696
LHA.DE,-0.0003738397
DPW.DE,-0.0003682275
DTE.DE,-0.0003633638
EOAN.DE,-0.0003693386
FRE.DE,-0.000370732
FME.DE,-0.0003548375
HEI.DE,-0.0003688551
HEN3.DE,-0.0003677608
IFX.DE,-0.0003771504
LIN.DE,-0.0003227144
MRK.DE,-0.0003672569
MTX.DE,-0.0003674583
MUV2.DE,-0.0003646911
RWE.DE,-0.0003639426
SAP.DE,-0.0003677833
SIE.DE,-0.0003671647
VOW3.DE,-0.0003693107
VNA.DE,-0.0003652068
WDI.DE,-0.0002539246
